trip_id,Departure,Arrival,Duration,Departure_City,Arrival_City
OCESN891800F0500551854,Gare de Chalon-sur-Saône,Gare de Mâcon-Ville,39,Allerey-sur-Saône,Mâcon
OCESN891981F0400451902,Gare de Corbigny,Gare de Laroche-Migennes,113,Corbigny,Migennes
OCESN892400F0200251922,Gare de Dijon-Ville,Gare de Montchanin,45,Dijon,Montchanin
OCESN893003F0700751967,Gare de Dijon-Ville,Gare de Le Creusot,53,Dijon,Le Creusot
OCESN893009F0900951979,Gare de Autun,Gare de Dijon-Ville,91,Torcy,Dijon
OCESN893020F0300352003,Gare de Chalon-sur-Saône,Gare de Montchanin,39,Allerey-sur-Saône,Montchanin
OCESN893051F0300352024,Gare de Etang,Gare de Montchanin,30,Verneuil-l'Étang,Montchanin
OCESN893080F0200252057,Gare de Autun,Gare de Nevers,94,Torcy,Nevers
OCESN893201F0300352115,Gare de Montchanin,Gare de Paray-le-Monial,43,Montchanin,Paray-le-Monial
OCESN893301F0200252132,Gare de Decize,Gare de Moulins-sur-Allier,75,Decize,Villeneuve-sur-Allier
OCESN893610F0300352155,Gare de Cosne-sur-Loire,Gare de Nevers,48,La Charité-sur-Loire,Nevers
OCESN893750F0200252161,Gare de Cosne-sur-Loire,Gare de Decize,89,La Charité-sur-Loire,Decize
OCESN893760F0400452179,Gare de Belfort-Ville,Gare de Besançon-Viotte,71,Belfort,Besançon
OCESN894000F0300352200,Gare de Dijon-Ville,Gare de Dole-Ville,28,Dijon,Montmirey-la-Ville
OCESN894200F0500552239,Gare de Belfort-Ville,Gare de Epinal,92,Belfort,Nomexy
OCESN894602F0200252398,Gare de Belfort-Ville,Gare de Montbéliard-Ville,15,Belfort,Belfort
OCESN894831F0200252407,Gare de Delle,Gare de Meroux,17,Delle,Meroux-Moval
OCESN895000F0400452425,Gare de Besançon-Mouillère,Gare de Le Valdahon,43,Besançon,Valdahon
OCESN895225F0300352479,Gare de Besançon-Mouillère,Gare de Morteau,82,Besançon,Morteau
OCESN895302F0400452484,Gare de Besançon-Viotte,Gare de Saint-Claude,148,Besançon,Saint-Claude
OCESN895522F0200252510,Gare de Dole-Ville,Gare de Pontarlier,75,Montmirey-la-Ville,Boujailles
OCESN895702F0500552519,Gare de Andelot,Gare de Dole-Ville,41,Andelot-en-Montagne,Montmirey-la-Ville
OCESN895714F0600652522,Gare de Besançon-Viotte,Gare de Lyon-Perrache,176,Besançon,Lyon
OCESN895800F0500552541,Gare de Lyon-Part-Dieu,Gare de Mouchard,128,Lyon,Mouchard
OCESN895800F1401452539,Gare de Besançon-Viotte,Gare de Lyon-Part-Dieu,159,Besançon,Lyon
OCESN895800F1701752543,Gare de Lyon-Perrache,Gare de Mouchard,139,Lyon,Mouchard
OCESN895802F0700752546,Gare de Besançon-Viotte,Gare de Bourg-en-Bresse,118,Besançon,Montluel
OCESN895819F0300352564,Gare de Belfort-Ville,Gare de Lyon-Part-Dieu,230,Belfort,Lyon
OCESN895820F0900952566,Gare de Belfort-Ville,Gare de Bourg-en-Bresse,186,Belfort,Montluel
OCESN895820F1801852568,Gare de Belfort-Ville,Gare de Lyon-Perrache,244,Belfort,Lyon
OCESN895822F0500552575,Gare de Lons-le-Saunier,Gare de Lyon-Perrache,103,Lons-le-Saunier,Lyon
OCESN895830F0200252600,Gare de Belfort-Ville,Gare de Lons-le-Saunier,144,Belfort,Lons-le-Saunier
OCESN895880F0500552634,Gare de Besançon-Viotte,Gare de Lons-le-Saunier,89,Besançon,Lons-le-Saunier
OCESN895940F0200252654,Gare de Bourg-en-Bresse,Gare de Mouchard,81,Montluel,Mouchard
